age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
24,2,279175,4,9,2,2,0,4,1,0,0,40,39,<=50K
47,4,194590,2,13,2,11,0,4,1,0,0,44,39,<=50K
34,4,198813,4,9,4,2,3,4,1,0,0,45,39,<=50K
40,2,187294,4,9,2,3,0,4,1,0,0,40,39,>50K
28,2,302903,2,13,2,9,5,1,0,0,1485,40,39,<=50K
24,2,154835,4,9,4,3,3,1,0,0,0,40,35,<=50K
43,4,126320,4,9,2,3,0,2,1,0,0,40,39,>50K
26,2,142226,2,13,0,12,1,4,0,0,0,40,39,<=50K
58,4,112076,3,16,1,3,5,4,0,0,1485,35,39,>50K
52,2,225339,4,9,6,0,4,2,0,0,0,35,39,<=50K
49,2,220618,4,9,0,0,4,2,0,0,0,37,39,<=50K
62,4,369734,4,9,2,0,5,4,0,0,0,40,39,<=50K
49,2,27898,4,9,2,3,0,4,1,0,1977,55,39,>50K
50,2,138193,2,13,0,9,2,4,0,0,0,50,39,>50K
31,2,224234,4,9,4,13,3,2,1,0,0,40,39,<=50K
48,1,188741,5,14,4,9,1,4,0,0,0,50,39,<=50K
24,2,183772,4,9,4,2,4,4,0,0,0,40,39,<=50K
41,6,155041,4,9,4,14,3,4,0,3418,0,40,39,<=50K
37,2,79586,4,9,5,6,3,1,1,0,0,60,39,<=50K
45,2,355781,2,13,2,3,0,1,1,0,0,45,24,>50K
36,2,116358,5,14,2,3,0,1,1,0,0,45,19,<=50K
45,2,59287,2,13,2,3,0,4,1,0,0,40,39,<=50K
41,2,138868,2,13,4,11,1,4,0,0,0,40,39,<=50K
35,2,179481,4,9,4,13,3,4,1,0,0,55,39,<=50K
38,2,365907,2,13,0,0,4,4,0,0,0,40,39,<=50K
26,2,284343,4,9,4,6,1,4,1,0,0,40,39,<=50K
28,2,204862,7,10,4,3,3,4,0,0,0,40,39,<=50K
33,2,118941,4,9,2,0,5,4,0,0,0,40,39,>50K
30,2,446894,4,9,2,5,0,4,1,0,0,30,39,<=50K
37,5,67083,7,10,2,9,2,1,1,0,0,40,1,<=50K
52,3,168539,2,13,4,3,1,4,1,0,0,40,39,<=50K
33,2,150309,4,9,0,2,1,4,0,0,0,40,39,<=50K
25,2,122999,7,10,4,12,2,4,1,0,0,40,39,<=50K
24,2,302195,2,13,4,11,1,4,1,0,0,45,39,<=50K
26,2,210982,1,11,5,0,4,2,0,114,0,40,39,<=50K
39,2,177140,4,9,5,0,1,4,1,0,0,40,39,>50K
59,2,113838,4,9,0,7,1,4,0,0,0,40,39,<=50K
29,2,97165,7,10,4,0,4,4,0,0,0,40,39,<=50K
23,6,192028,7,10,4,14,3,4,0,0,0,35,39,<=50K
64,3,115931,4,9,2,13,0,4,1,0,0,50,39,<=50K
32,2,185433,7,10,2,0,5,2,0,0,0,40,39,>50K
62,4,71467,5,14,2,9,0,4,1,0,0,40,39,<=50K
32,2,183977,2,13,2,2,0,4,1,0,0,55,39,>50K
45,4,196858,4,9,2,3,0,4,1,0,0,60,39,<=50K
31,2,160594,2,13,2,3,0,4,1,0,1887,50,39,>50K
32,2,65278,4,9,2,0,0,4,1,2580,0,40,39,<=50K
24,2,102258,2,13,2,11,0,4,1,0,0,40,39,<=50K
25,2,196947,2,13,4,11,3,4,0,0,0,40,39,<=50K
41,4,233150,4,9,2,3,0,4,1,0,0,60,39,<=50K
44,2,118059,3,16,2,9,0,4,1,0,0,55,39,>50K
40,2,169262,7,10,2,3,0,4,1,3411,0,50,39,<=50K
27,2,95108,2,13,4,9,1,4,1,0,0,40,39,<=50K
23,2,161092,2,13,4,0,3,4,1,0,0,40,39,<=50K
21,2,345253,7,10,4,0,1,3,1,2174,0,40,39,<=50K
37,5,111275,4,9,2,13,0,4,1,0,0,40,39,<=50K
65,4,178878,4,9,2,4,0,4,1,0,0,48,39,<=50K
43,0,157237,5,14,2,9,0,4,1,0,0,40,39,>50K
45,2,155664,4,9,4,0,1,4,1,0,0,44,39,<=50K
24,5,322658,2,13,4,3,1,4,0,0,0,40,39,<=50K
24,2,208503,7,10,4,6,1,4,1,0,0,42,39,<=50K
19,1,223326,7,10,4,10,3,4,1,0,1721,35,39,<=50K
24,2,124751,4,9,4,0,3,4,0,0,0,35,39,<=50K
34,2,113364,7,10,2,6,0,4,1,0,0,40,11,<=50K
50,5,196900,4,9,2,7,5,4,0,0,0,39,39,<=50K
36,2,168170,4,9,2,2,0,4,1,0,0,40,33,<=50K
39,2,205338,2,13,2,11,0,4,1,0,0,60,39,<=50K
45,5,226452,4,9,2,7,0,4,1,0,0,40,39,<=50K
47,0,471990,5,14,2,3,0,2,1,0,0,40,39,>50K
50,2,44728,4,9,2,6,0,4,1,0,0,40,39,<=50K
32,2,33117,1,11,2,7,0,4,1,0,0,40,39,<=50K
19,2,264876,4,9,4,5,3,4,1,0,0,40,39,<=50K
28,2,193122,4,9,0,11,2,4,1,0,0,50,39,<=50K
39,0,149347,5,14,4,9,1,4,1,0,0,40,31,>50K
21,2,129172,7,10,4,7,1,4,1,2907,0,40,39,<=50K
25,2,238673,7,10,4,6,1,4,1,0,0,40,39,<=50K
51,2,85942,7,10,0,11,1,4,0,0,0,32,39,<=50K
31,2,174789,2,13,0,5,3,4,1,0,0,40,39,<=50K
73,2,88594,4,9,0,3,1,4,0,0,0,35,39,<=50K
41,2,311101,4,9,0,2,1,4,1,0,0,40,39,<=50K
20,2,273989,4,9,4,13,3,4,1,0,0,40,39,<=50K
27,2,370242,0,12,4,7,1,4,1,0,0,30,39,<=50K
24,2,194630,2,13,4,9,1,4,1,0,0,35,39,<=50K
20,2,313817,7,10,2,2,0,4,1,0,0,40,39,<=50K
39,2,195843,1,11,4,6,3,4,1,0,0,40,39,<=50K
33,2,75435,4,9,2,5,0,0,1,0,0,40,39,<=50K
55,2,192869,7,10,2,3,0,4,1,0,0,36,39,<=50K
19,2,124464,7,10,4,6,3,4,1,0,0,40,39,<=50K
35,2,98776,4,9,4,3,1,4,1,0,0,60,39,<=50K
62,5,312286,6,15,0,9,1,4,0,0,0,35,39,<=50K
33,4,48520,7,10,2,2,0,4,1,0,0,40,39,>50K
36,1,237713,7,10,2,12,0,4,1,0,0,40,39,<=50K
41,2,309990,2,13,0,0,4,4,0,0,0,33,39,<=50K
39,4,37019,4,9,2,2,0,4,1,0,0,60,39,<=50K
20,0,163205,1,11,4,0,3,4,0,0,0,36,39,<=50K
27,2,104423,4,9,4,6,3,4,1,0,0,40,39,<=50K
34,2,105141,7,10,0,0,3,4,1,0,0,40,39,<=50K
20,6,38455,4,9,4,14,4,4,1,0,0,40,39,<=50K
31,2,213339,4,9,5,12,1,4,0,0,0,40,39,<=50K
41,2,177989,3,16,2,9,0,4,1,0,2051,60,39,<=50K
32,2,312403,2,13,4,3,1,4,0,0,0,40,39,<=50K
30,1,176992,4,9,2,13,0,4,1,0,0,50,39,>50K
53,1,139671,7,10,2,3,0,4,1,0,0,50,39,<=50K
50,2,116814,4,9,6,0,1,0,0,0,0,40,39,<=50K
36,2,37778,2,13,2,3,0,4,1,0,0,40,39,<=50K
55,2,202652,2,13,4,3,1,4,0,0,0,35,39,<=50K
28,2,349751,2,13,4,3,1,2,1,2174,0,50,39,<=50K
24,1,238384,2,13,4,9,3,4,0,0,0,37,39,<=50K
60,2,209844,7,10,0,0,2,4,0,0,0,40,39,<=50K
27,3,214974,4,9,2,2,0,4,1,0,0,60,39,<=50K
30,2,113453,5,14,2,9,5,4,0,0,0,30,39,<=50K
54,2,162238,4,9,6,13,1,4,1,0,0,45,39,<=50K
44,2,98779,7,10,2,2,0,4,1,5178,0,40,39,>50K
52,2,165001,4,9,2,13,0,4,1,0,0,60,39,>50K
35,2,251396,2,13,2,9,0,4,1,0,0,50,39,>50K
37,2,178100,2,13,0,3,1,4,0,0,0,40,39,>50K
22,2,416165,7,10,4,0,3,4,0,0,0,40,39,<=50K
45,2,177536,2,13,2,3,0,4,1,0,0,45,9,>50K
38,2,203717,2,13,2,4,0,4,1,0,0,60,39,<=50K
48,2,107231,2,13,2,9,0,4,1,0,0,40,39,<=50K
35,2,106448,1,11,2,7,0,4,1,0,0,40,39,<=50K
21,2,196816,1,11,2,2,2,4,1,0,0,50,39,<=50K
37,4,191342,4,9,2,2,0,1,1,0,0,60,30,>50K
48,3,72425,2,13,2,2,0,4,1,0,0,50,39,<=50K
51,2,217480,7,10,5,0,1,2,1,8614,0,40,39,>50K
52,2,120914,7,10,2,2,0,4,1,0,0,40,39,<=50K
32,5,33945,2,13,2,4,0,4,1,0,0,40,39,>50K
39,4,199753,2,13,2,7,0,4,1,0,0,60,39,<=50K
51,2,144284,2,13,2,9,0,4,1,0,0,40,39,>50K
54,2,53833,2,13,2,11,0,4,1,0,0,50,39,<=50K
43,2,125577,4,9,5,0,4,2,0,0,0,40,39,<=50K
32,2,242323,7,10,4,0,3,4,0,0,0,40,39,<=50K
31,5,195181,5,14,2,9,0,4,1,0,0,35,39,>50K
26,2,341672,7,10,4,0,2,1,1,0,0,60,19,<=50K
35,2,116369,4,9,4,2,1,4,1,0,0,40,39,<=50K
25,4,121285,2,13,4,11,1,4,0,0,0,40,39,<=50K
32,2,182274,4,9,5,7,3,4,0,0,0,37,39,<=50K
28,2,103548,2,13,2,9,0,4,1,0,0,40,39,<=50K
41,4,38434,5,14,4,11,1,4,0,0,0,30,39,<=50K
53,4,317313,4,9,2,2,0,4,1,0,0,48,39,<=50K
49,2,177543,4,9,5,0,4,4,0,0,0,35,39,<=50K
55,2,139834,2,13,2,9,0,4,1,0,0,40,39,>50K
29,2,118478,7,10,2,0,5,4,0,7298,0,50,39,>50K
44,2,201734,4,9,2,2,0,4,1,0,0,45,39,<=50K
41,2,198196,5,14,2,3,0,4,1,0,0,45,39,>50K
26,2,141876,1,11,2,11,0,4,1,3103,0,45,39,>50K
23,2,325179,4,9,2,11,0,4,1,0,0,40,39,>50K
37,4,143774,2,13,2,9,5,4,0,0,0,40,11,>50K
